device_id,now+0h,now+1h,now+2h,now+3h,now+4h,now+5h,LATITUDE,LONGTITUDE,GRID
74DA38AF475E,0.0,1.1663224e-05,1.1763760999999999e-05,1.1764627e-05,1.1764635e-05,1.1764635e-05,25.064,121.49600000000001,"(1, 4)"
74DA38AF4776,52.5,45.279093350608996,45.195449994803,46.195007616798,47.253571258418,48.443571518678,23.715999999999998,120.53200000000001,"(5, 2)"
74DA38AF4780,41.67,54.021697673562,58.411704053135004,61.729421600482,62.636228048309995,62.295014356249,24.154,120.694,"(4, 2)"
74DA38AF478A,6.67,7.086161782446999,7.4343738530509995,7.730218928107001,7.986235525791,8.211113905509,22.983,120.22200000000001,"(8, 2)"
74DA38AF4792,47.0,43.280999115604,43.966108033670004,44.962538048182005,45.963458578856,46.857723376,22.665,120.325,"(9, 2)"
74DA38AF47A4,21.0,23.852297715960997,25.217917471588997,26.944524790893002,28.132963085286,28.932611722649998,24.13,120.661,"(4, 2)"
74DA38AF47AA,31.0,12.065302765739998,14.456040557068999,20.029444311783,23.833365621396,26.912289896997,25.022,121.53200000000001,"(1, 4)"
74DA38AF47B0,40.0,37.021213297954,33.138455458351004,29.516369930484,26.850403244190996,24.948561859285,23.464000000000002,120.41799999999999,"(6, 2)"
74DA38AF47B2,39.5,44.007336372283,44.332116456272004,44.645102074476995,44.949911966361,45.249738921457,22.465,120.455,"(9, 2)"
74DA38AF47D6,40.33,34.248360041972,34.068204775429,34.530523278124,35.25945638559,35.964991625401,24.965999999999998,121.515,"(1, 4)"
74DA38AF47F4,36.0,36.693392680820004,36.28060340674,35.873910253069,35.504254828676,35.178937231885,22.613000000000003,120.323,"(9, 2)"
74DA38AF47F8,40.5,27.750442759049,36.317862084392,38.570680021563,37.758684241721,38.860173833918,25.046,121.508,"(1, 4)"
74DA38AF47FC,34.0,64.06482610402,64.077936678936,64.078020786777,64.078021324962,64.078021328406,22.58,120.425,"(9, 2)"
74DA38AF4804,22.67,30.451889522426,31.2573446331,31.716287967209997,31.952581224077,32.041251599518,24.158,120.669,"(4, 2)"
74DA38AF4812,36.33,36.059148708453,38.015005344913995,39.082751168268,39.342361816654,39.208051879232,22.982,120.22200000000001,"(8, 2)"
74DA38AF483A,42.67,38.722703744901,33.730411648897,30.998486642566,29.244581124563,28.408533652884998,25.263,121.602,"(0, 4)"
74DA38AF483E,10.67,14.711216557912,14.019394227574999,13.644067523864999,13.437922890074,13.323084601855,24.767,120.96799999999999,"(2, 3)"
74DA38AF4842,28.0,29.089768668425002,29.497762490696,29.801891030659,30.039985379740006,30.232982701851,23.02,120.20200000000001,"(7, 2)"
74DA38AF484E,39.33,50.754856660061996,52.867984758215,54.079878086956995,55.375364449193,56.474988282507,24.118000000000002,120.65299999999999,"(4, 2)"
74DA38AF485A,32.5,34.087264845292,33.784266867590006,33.549597795974,33.360889215412996,33.204841366809,24.627,121.744,"(2, 4)"
74DA38AF485C,38.33,44.183936262554,44.055023426729,43.943731456063006,43.847615049335005,43.764580102395,24.179000000000002,120.63799999999999,"(4, 2)"
74DA38AF4868,44.33,46.795494812784995,47.040347039211,47.242630239224006,47.409327537859994,47.546413111458996,24.543000000000003,120.81700000000001,"(2, 3)"
74DA38AF4870,41.33,38.530116317472,38.109982663385,37.733274288274,37.394718392201,37.089865286907,24.679000000000002,121.68799999999999,"(2, 4)"
74DA38AF4872,15.67,27.019872520724,29.084772682704,29.470833905958,28.594502671121997,27.599166056984,23.554000000000002,120.47399999999999,"(6, 2)"
74DA38AF487A,17.5,16.039082330988,16.88657067212,17.512425614691,17.939222244798998,18.213894082988,23.319000000000003,120.316,"(6, 2)"
